'auto-success', 'Автоматический вход: успешно'
'auto-failed-incorrect-password', 'Автоматический вход: неверный пароль'
'auto-failed-no-user', 'Автоматический вход: такого пользователя нет'
'auto-failed-no-credentials', 'Автоматический вход: нет данных для входа'
'login-success', 'Успешный вход'
'login-failed-incorrect-password', 'Ошибка: неверный пароль'
'login-failed-no-user', 'Ошибка: такого пользователя нет'
'login-failed-no-credentials', 'Ошибка: нет данных для входа'
'reg-success', 'Успешная регистрация! Теперь Вы можете войти'
'reg-failed-uncaught-sql', 'Непредвиденная ошибка'
'reg-failed-not-match', 'Ошибка: пароли не совпадают'
'reg-failed-no-consent', 'Ошибка: Вы не дали согласие на обработку персональных данных'
'reg-failed-user-exists', 'Ошибка: пользователь с таким логином уже существует'
'reg-failed-empty-fields', 'Ошибка: некоторые поля пустые'
